date_key,region,customer_segment,product_category,total_quantity,total_revenue,avg_discount,total_profit
2024-01-26,North,Corporate,Technology,2,830.0556000000001,0.1,346.67560000000014
2023-08-03,Central,Home Office,Office Supplies,10,2035.047,0.18,-7.453000000000088
2025-11-18,North,Home Office,Technology,3,217.80792,0.11,-8.57208
2023-12-04,North,Corporate,Office Supplies,5,986.2823250000001,0.19,-381.1676749999999
2025-04-10,North,Corporate,Furniture,2,886.33944,0.03,367.23943999999995
2024-12-14,West,Consumer,Furniture,5,223.6086,0.1,74.1086
2024-07-22,South,Consumer,Technology,8,899.7484479999999,0.06,-114.3315520000001
2023-07-21,West,Consumer,Technology,7,2018.34528,0.16,549.32528
2024-06-01,North,Corporate,Furniture,6,1777.528512,0.04,239.78851199999986
2026-01-10,North,Consumer,Furniture,3,224.67945600000004,0.08,-645.440544
2024-01-22,West,Corporate,Office Supplies,5,794.6943500000001,0.11,-501.35564999999986
2025-02-16,North,Home Office,Technology,3,347.687235,0.13,196.12723499999998
2023-07-27,North,Corporate,Office Supplies,8,1826.7264300000002,0.08499999999999999,1209.7264300000002
2024-08-08,North,Consumer,Office Supplies,3,694.1034359999999,0.17,557.3934359999998
2023-01-22,West,Consumer,Furniture,5,520.3359,0.08,429.2859
2023-08-18,North,Home Office,Furniture,0,564.7336200000001,0.01,564.7336200000001
2024-07-06,North,Corporate,Technology,2,710.3018999999999,0.03,464.6818999999999
2023-05-28,South,Consumer,Furniture,4,660.67092,0.09,-478.08907999999997
2024-02-07,East,Consumer,Furniture,5,2390.8648500000004,0.11,1384.5648500000004
2024-08-18,North,Home Office,Office Supplies,5,2232.6213,0.02,759.4712999999997
2025-07-06,East,Consumer,Technology,2,651.45452,0.05,512.53452
2024-04-25,North,Corporate,Furniture,8,1885.0224240000002,0.08,736.8624240000003
